Fecha,N1,N2,N3,N4,N5,N6,Complementario
14/05/2025,24,25,32,35,45,48,11
15/05/2025,5,17,21,25,28,44,8
16/05/2025,16,24,25,41,48,49,30
17/05/2025,3,10,17,31,35,43,37
18/05/2025,6,8,10,28,32,35,14
19/05/2025,4,11,17,22,30,33,41
20/05/2025,15,18,20,21,38,48,4
21/05/2025,9,17,24,42,45,46,32
22/05/2025,2,3,18,20,37,42,31
23/05/2025,15,28,36,37,42,44,49
24/05/2025,1,3,13,21,42,49,35
25/05/2025,6,9,11,36,39,40,25
26/05/2025,15,18,23,28,33,49,9
27/05/2025,1,3,6,12,22,23,28
28/05/2025,4,16,20,27,31,38,45
29/05/2025,14,27,33,34,39,43,19
30/05/2025,27,32,34,39,47,49,11
31/05/2025,2,10,36,37,45,47,21
01/06/2025,23,29,30,31,32,39,49
02/06/2025,3,26,28,41,46,47,40
03/06/2025,1,7,15,17,36,45,26
04/06/2025,6,14,23,31,37,44,47
05/06/2025,6,14,18,34,39,49,20
06/06/2025,2,10,25,27,30,39,12
07/06/2025,22,26,36,38,40,46,12
08/06/2025,9,12,32,39,42,43,49
09/06/2025,11,14,19,39,41,47,31
10/06/2025,9,18,26,29,34,40,46
11/06/2025,5,8,11,18,28,29,41
12/06/2025,1,4,6,20,23,45,5
13/06/2025,22,29,31,32,33,35,13
